"option.altruist.AltruistTargetBody": "Target's Body Disappears On Beginning Of Revive"
"option.altruist.ReviveDuration": "Altruist Revive Duration"
"option.amnesiac.RememberArrowDelay": "Time After Death Arrow Appears"
"option.amnesiac.RememberArrows": "Amnesiac Gets Arrows Pointing To Dead Bodies"
"option.arsonist.ArsoImpVision": "Arsonist Has Impostor Vision"
"option.arsonist.DouseCooldown": "Douse Cooldown"
"option.arsonist.IgniteCdRemoved": "Ignite Cooldown Removed When Arsonist Is Last Killer"
"option.arsonist.MaxDoused": "Maximum Alive Players Doused"
"option.aurial.RadiateCooldown": "Radiate Cooldown"
"option.aurial.RadiateCount": "Radiate Uses To See"
"option.aurial.RadiateInvis": "Radiate See Delay"
"option.aurial.RadiateRange": "Radiate Range"
"option.aurial.RadiateSucceedChance": "Radiate Succeed Chance"
"option.bait.BaitMaxDelay": "Maximum Delay for the Bait Report"
"option.bait.BaitMinDelay": "Minimum Delay for the Bait Report"
"option.blackmailer.BlackmailCooldown": "Initial Blackmail Cooldown"
"option.bomber.BomberVent": "Bomber Can Vent"
"option.bomber.DetonateDelay": "Detonate Delay"
"option.bomber.DetonateRadius": "Detonate Radius"
"option.bomber.MaxKillsInDetonation": "Max Kills In Detonation"
"option.button.crewSetting": "Crewmate Settings"
"option.button.exprotSt": "Export Settings"
"option.button.impSetting": "Impostor Settings"
"option.button.importSt": "Import Settings"
"option.button.loadStText": "Load Custom Settings"
"option.button.modSetting": "Mod Settings"
"option.button.modifierSt": "Modifier Settings"
"option.button.neuSetting": "Neutral Settings"
"option.button.saveStText": "Save Custom Settings"
"option.detective.CanDetectLastKiller": "Can Detect Last Killer"
"option.detective.DetectiveFactionDuration": "Time Where Detective Will Have Faction"
"option.detective.DetectiveReportOn": "Show Detective Reports"
"option.detective.DetectiveRoleDuration": "Time Where Detective Will Have Role"
"option.detective.ExamineCooldown": "Examine Cooldown"
"option.diseased.DiseasedKillMultiplier": "Diseased Kill Multiplier"
"option.doomsayer.DoomsayerAfterVoting": "Doomsayer Can Guess After Voting"
"option.doomsayer.DoomsayerGuessImpostors": "Doomsayer Can Guess Impostor Roles"
"option.doomsayer.DoomsayerGuessNeutralBenign": "Doomsayer Can Guess Neutral Benign Roles"
"option.doomsayer.DoomsayerGuessNeutralEvil": "Doomsayer Can Guess Neutral Evil Roles"
"option.doomsayer.DoomsayerGuessNeutralKilling": "Doomsayer Can Guess Neutral Killing Roles"
"option.doomsayer.DoomsayerGuessesToWin": "Number Of Doomsayer Kills To Win"
"option.doomsayer.ObserveCooldown": "Observe Cooldown"
"option.engineer.MaxFixes": "Maximum Number Of Fixes"
"option.escapist.EscapeCooldown": "Recall Cooldown"
"option.escapist.EscapistVent": "Escapist Can Vent"
"option.executioner.ExecutionerButton": "Executioner Can Button"
"option.executioner.ExecutionerTorment": "Executioner Torments Player On Victory"
"option.executioner.OnTargetDead": "Executioner Becomes On Target Dead"
"option.flash.FlashSpeed": "Flash Speed"
"option.frosty.ChillDuration": "Chill Duration"
"option.frosty.ChillStartSpeed": "Chill Start Speed"
"option.giant.GiantSlow": "Giant Speed"
"option.glitch.GlitchHackDistance": "Glitch Hack Distance"
"option.glitch.GlitchHackDistance.text1": "Short"
"option.glitch.GlitchHackDistance.text2": "Normal"
"option.glitch.GlitchHackDistance.text3": "Long"
"option.glitch.GlitchKillCooldown": "Glitch Kill Cooldown"
"option.glitch.GlitchVent": "Glitch Can Vent"
"option.glitch.HackCooldown": "Hack Cooldown"
"option.glitch.HackDuration": "Hack Duration"
"option.glitch.MimicCooldown": "Mimic Cooldown"
"option.glitch.MimicDuration": "Mimic Duration"
"option.grenadier.FlashRadius": "Flash Radius"
"option.grenadier.GrenadeCooldown": "Flash Grenade Cooldown"
"option.grenadier.GrenadeDuration": "Flash Grenade Duration"
"option.grenadier.GrenadierIndicators": "Indicate Flashed Crewmates"
"option.grenadier.GrenadierVent": "Grenadier Can Vent"
"option.guardianangel.EvilTargetPercent": "Odds Of Target Being Evil"
"option.guardianangel.GAKnowsTargetRole": "GA Knows Targets Role"
"option.guardianangel.GATargetKnows": "Target Knows GA Exists"
"option.guardianangel.GaOnTargetDeath": "GA Becomes On Target Dead"
"option.guardianangel.MaxProtects": "Maximum Number Of Protects"
"option.guardianangel.ProtectCd": "Protect Cooldown"
"option.guardianangel.ProtectDuration": "Protect Duration"
"option.guardianangel.ProtectKCReset": "Kill Cooldown Reset When Protected"
"option.guardianangel.ShowProtect": "Show Protected Player"
"option.guardianangel.ShowProtect.text1": "Self"
"option.guardianangel.ShowProtect.text2": "Self+GA"
"option.guardianangel.ShowProtect.text3": "Everyone"
"option.haunter.HaunterCanBeClickedBy": "Who Can Click Haunter"
"option.haunter.HaunterCanBeClickedBy.text1": "All"
"option.haunter.HaunterCanBeClickedBy.text2": "Non-Crew"
"option.haunter.HaunterCanBeClickedBy.text3": "Imps Only"
"option.haunter.HaunterRevealsNeutrals": "Haunter Reveals Neutral Roles"
"option.haunter.HaunterTasksRemainingAlert": "Tasks Remaining When Alert Is Sent"
"option.haunter.HaunterTasksRemainingClicked": "Tasks Remaining When Haunter Can Be Clicked"
"option.header.CrewInvestigativeRoles": "Crewmate Investigative Roles"
"option.header.CrewKillingRoles": "Crewmate Killing Roles"
"option.header.CrewProtectiveRoles": "Crewmate Protective Roles"
"option.header.CrewSupportRoles": "Crewmate Support Roles"
"option.header.ImpostorConcealingRoles": "Impostor Concealing Roles"
"option.header.NeutralBenignRoles": "Neutral Benign Roles"
"option.header.NeutralEvilRoles": "Neutral Evil Roles"
"option.imposter.AmneTurnImpAssassin": "Amnesiac Turned Impostor Gets Ability"
"option.imposter.AmneTurnNeutAssassin": "Amnesiac Turned Neutral Killing Gets Ability"
"option.imposter.Assassin": "Assassin Ability"
"option.imposter.AssassinCrewmateGuess": "Assassin Can Guess Crewmate"
"option.imposter.AssassinGuessImpostors": "Assassin Can Guess Impostor Roles"
"option.imposter.AssassinGuessLovers": "Assassin Can Guess Lovers"
"option.imposter.AssassinGuessModifiers": "Assassin Can Guess Crewmate Modifiers"
"option.imposter.AssassinGuessNeutralBenign": "Assassin Can Guess Neutral Benign Roles"
"option.imposter.AssassinGuessNeutralEvil": "Assassin Can Guess Neutral Evil Roles"
"option.imposter.AssassinGuessNeutralKilling": "Assassin Can Guess Neutral Killing Roles"
"option.imposter.AssassinKills": "Number Of Assassin Kills"
"option.imposter.AssassinMultiKill": "Assassin Can Kill More Than Once Per Meeting"
"option.imposter.AssassinateAfterVoting": "Assassin Can Guess After Voting"
"option.imposter.NumberOfImpostorAssassins": "Number Of Impostor Assassins"
"option.imposter.NumberOfNeutralAssassins": "Number Of Neutral Assassins"
"option.imposter.TraitorCanAssassin": "Traitor Gets Ability"
