"option.altruist.AltruistTargetBody": "复活时目标尸体消失"
"option.altruist.ReviveDuration": "复活持续时间"
"option.amnesiac.RememberArrowDelay": "箭头显示延迟时间"
"option.amnesiac.RememberArrows": "失忆者显示尸体箭头"
"option.arsonist.ArsoImpVision": "拥有伪装者视野"
"option.arsonist.DouseCooldown": "泼油冷却时间"
"option.arsonist.IgniteCdRemoved": "最后纵火者移除冷却"
"option.arsonist.MaxDoused": "最大泼油存活人数"
"option.aurial.RadiateCooldown": "辐射冷却时间"
"option.aurial.RadiateCount": "玩家需被辐射几次才能显示气场"
"option.aurial.RadiateInvis": "会议后看不见其他玩家的时长"
"option.aurial.RadiateRange": "辐射范围"
"option.aurial.RadiateSucceedChance": "辐射成功概率"
"option.bait.BaitMaxDelay": "诱饵报告最大延迟"
"option.bait.BaitMinDelay": "诱饵报告最小延迟"
"option.blackmailer.BlackmailCooldown": "勒索冷却时间"
"option.bomber.BomberVent": "可使用通风口"
"option.bomber.DetonateDelay": "引爆延迟"
"option.bomber.DetonateRadius": "引爆范围"
"option.bomber.MaxKillsInDetonation": "引爆最大击杀数"
"option.button.crewSetting": "船员阵营设置"
"option.button.exprotSt": "保存设置"
"option.button.impSetting": "伪装者阵营设置"
"option.button.importSt": "导入设置"
"option.button.loadStText": "加载自定义设置"
"option.button.modSetting": "模组设置"
"option.button.modifierSt": "附加职业设置"
"option.button.neuSetting": "独立阵营设置"
"option.button.saveStText": "保存自定义设置"
"option.detective.CanDetectLastKiller": "可检测最后凶手"
"option.detective.DetectiveFactionDuration": "侦探阵营持续时间"
"option.detective.DetectiveReportOn": "显示调查报告"
"option.detective.DetectiveRoleDuration": "侦探职业持续时间"
"option.detective.ExamineCooldown": "调查冷却时间"
"option.diseased.DiseasedKillMultiplier": "疾病攻击倍数"
"option.doomsayer.DoomsayerAfterVoting": "投票后可猜测"
"option.doomsayer.DoomsayerGuessImpostors": "可猜测伪装者"
"option.doomsayer.DoomsayerGuessNeutralBenign": "可猜测中立善良角色"
"option.doomsayer.DoomsayerGuessNeutralEvil": "可猜测中立邪恶角色"
"option.doomsayer.DoomsayerGuessNeutralKilling": "可猜测中立杀戮角色"
"option.doomsayer.DoomsayerGuessesToWin": "胜利所需猜测次数"
"option.doomsayer.ObserveCooldown": "观察冷却时间"
"option.engineer.MaxFixes": "最大修复次数"
"option.escapist.EscapeCooldown": "召回冷却时间"
"option.escapist.EscapistVent": "可使用通风口"
"option.executioner.ExecutionerButton": "行刑者可用按钮"
